Scenario,Region,Basin,FU,Constituent,LoadToStream,BasinScale,Units
PREDEV,CY,Lockhart,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DIP,0.06540876546073301,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DIP,0.0032881747913637532,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DOP,13.3678009588683,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DOP,0.28259782096528896,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DOP,0.012990426986360954,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Bananas,FS,0.042181270348213507,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Conservation,FS,50.778579222138276,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Cropping,FS,0.1832162739634981,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Forestry,FS,0.011768642497817929,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Grazing,FS,17.275760454157748,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Horticulture,FS,0.008415948400697199,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Stream,FS,21.86569557547165,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Urban + Other,FS,0.05190490344961529,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Conservation,PN,302.2235158902233,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Cropping,PN,0.07743516783698236,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Forestry,PN,0.043671014454858895,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Grazing,PN,137.4299148115047,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Horticulture,PN,0.0034449813660320312,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Stream,PN,12.44496734380474,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
