Region,Basin,BasinScale,Constituent,Anthropogenic,Units
FI,Styx,Manag_Unit_48,PN,0.003718267286578341,t/yr
FI,Theresa,Manag_Unit_48,PN,0.006094818725971626,t/yr
FI,Water Park,Manag_Unit_48,PN,0.00033659554372493663,t/yr
MW,O-Connell,Manag_Unit_48,PN,0.020721111929522782,t/yr
MW,Pioneer,Manag_Unit_48,PN,0.010265519659783083,t/yr
MW,Plane,Manag_Unit_48,PN,0.01654683518012467,t/yr
MW,Proserpine,Manag_Unit_48,PN,0.0027887517168170305,t/yr
WT,Barron,Manag_Unit_48,PN,0.0124163363548101,t/yr
WT,Daintree,Manag_Unit_48,PN,0.009507337596392957,t/yr
WT,Johnstone,Manag_Unit_48,PN,0.039077227335596924,t/yr
WT,Lower Herbert,Manag_Unit_48,PN,0.010191635850643905,t/yr
WT,Mossman,Manag_Unit_48,PN,0.0008337298913683218,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PN,0.008543677925481379,t/yr
WT,Murray,Manag_Unit_48,PN,0.0024920965042333756,t/yr
WT,Tully,Manag_Unit_48,PN,0.006009997651386148,t/yr
WT,Upper Herbert,Manag_Unit_48,PN,0.011333078180680467,t/yr
BM,Baffle,Manag_Unit_48,PP,0.0013763850760704587,t/yr
BM,Burnett,Manag_Unit_48,PP,0.024682936121576602,t/yr
BM,Burrum,Manag_Unit_48,PP,0.000410189978974495,t/yr
BM,Kolan,Manag_Unit_48,PP,0.00211613663905532,t/yr
BM,Mary,Manag_Unit_48,PP,0.01113024632404535,t/yr
BU,Belyando,Manag_Unit_48,PP,0.002830667222057161,t/yr
BU,Black,Manag_Unit_48,PP,0.0005320523177841195,t/yr
BU,Bowen Bogie,Manag_Unit_48,PP,0.043686037387466105,t/yr
BU,Burdekin Delta,Manag_Unit_48,PP,0.0012891891928824388,t/yr
BU,Cape Campaspe,Manag_Unit_48,PP,0.0034172127515605,t/yr
BU,Don,Manag_Unit_48,PP,0.0030483018006614276,t/yr
BU,East Burdekin,Manag_Unit_48,PP,0.0027744897850188756,t/yr
BU,Haughton,Manag_Unit_48,PP,0.002531207559472138,t/yr
BU,Ross,Manag_Unit_48,PP,0.0016428088472450575,t/yr
BU,Suttor,Manag_Unit_48,PP,0.002345793693761896,t/yr
BU,Upper Burdekin,Manag_Unit_48,PP,0.06468615968723043,t/yr
CY,Endeavour,Manag_Unit_48,PP,0.0008773518617482499,t/yr
CY,Jacky Jacky,Manag_Unit_48,PP,9.128543440832999e-05,t/yr
CY,Jeannie,Manag_Unit_48,PP,0.0003487233064272881,t/yr
CY,Lockhart,Manag_Unit_48,PP,1.9272414218060044e-05,t/yr
CY,Normanby,Manag_Unit_48,PP,0.0034323560531523147,t/yr
CY,Olive Pascoe,Manag_Unit_48,PP,0.000300961958981118,t/yr
CY,Stewart,Manag_Unit_48,PP,3.087744830124019e-05,t/yr
FI,Boyne,Manag_Unit_48,PP,0.001508994119075326,t/yr
FI,Calliope,Manag_Unit_48,PP,0.0014594442230418476,t/yr
FI,Comet,Manag_Unit_48,PP,0.008305613207990966,t/yr
FI,Dawson,Manag_Unit_48,PP,0.01975928635471386,t/yr
FI,Fitzroy,Manag_Unit_48,PP,0.00756067675290895,t/yr
FI,Isaac,Manag_Unit_48,PP,0.008337337561372298,t/yr
FI,Mackenzie,Manag_Unit_48,PP,0.003873722793988542,t/yr
FI,Nogoa,Manag_Unit_48,PP,0.00782409402995121,t/yr
FI,Shoalwater,Manag_Unit_48,PP,0.0003828713231636093,t/yr
FI,Styx,Manag_Unit_48,PP,0.0012751117697150473,t/yr
FI,Theresa,Manag_Unit_48,PP,0.0018653105251344637,t/yr
FI,Water Park,Manag_Unit_48,PP,0.00011309108829055894,t/yr
MW,O-Connell,Manag_Unit_48,PP,0.005293203154461781,t/yr
MW,Pioneer,Manag_Unit_48,PP,0.0022644338756579838,t/yr
MW,Plane,Manag_Unit_48,PP,0.0026521460212050266,t/yr
MW,Proserpine,Manag_Unit_48,PP,0.0008723873659233174,t/yr
WT,Barron,Manag_Unit_48,PP,0.005411508138081508,t/yr
WT,Daintree,Manag_Unit_48,PP,0.0017365878450892496,t/yr
WT,Johnstone,Manag_Unit_48,PP,0.016874477496523554,t/yr
WT,Lower Herbert,Manag_Unit_48,PP,0.0030161574748760384,t/yr
WT,Mossman,Manag_Unit_48,PP,0.00038345160308927084,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PP,0.0026738557664370594,t/yr
WT,Murray,Manag_Unit_48,PP,0.0005951370918809987,t/yr
WT,Tully,Manag_Unit_48,PP,0.0021439773573441647,t/yr
WT,Upper Herbert,Manag_Unit_48,PP,0.003107235276302565,t/yr
