Scenario,Region,Basin,FU,Constituent,LoadToRegExport,BasinScale,Units
PREDEV,CY,Lockhart,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DON,0.22083377177369012,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DIP,3.25194308381621,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DIP,0.06540635333260277,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DIP,0.0032881496934362244,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DOP,13.36727075583001,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DOP,0.28257966329805734,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DOP,0.012990239495801744,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Bananas,FS,0.011502069388654794,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Conservation,FS,25.466154971923842,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Cropping,FS,0.04997025423446278,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Forestry,FS,0.003219060327184579,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Grazing,FS,6.5919644314825385,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Horticulture,FS,0.0022989125396383225,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Stream,FS,9.55490752829437,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Urban + Other,FS,0.022429174004831687,Manag_Unit_48,kt/yr
PREDEV,CY,Normanby,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Conservation,PN,152.9575206658479,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Cropping,PN,0.022926507820540974,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Forestry,PN,0.01294288505465198,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Grazing,PN,55.412695747339725,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Horticulture,PN,0.001020025003412451,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Stream,PN,5.322322545224341,Manag_Unit_48,t/yr
PREDEV,CY,Normanby,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
