Region,Basin,BasinScale,Constituent,Anthropogenic,Units
WT,Daintree,Manag_Unit_48,FS,1.45174558007105e-06,kt/yr
WT,Johnstone,Manag_Unit_48,FS,7.491404436699436e-06,kt/yr
WT,Lower Herbert,Manag_Unit_48,FS,2.4887090739558345e-06,kt/yr
WT,Mossman,Manag_Unit_48,FS,1.8898469116632822e-07,kt/yr
WT,Mulgrave-Russell,Manag_Unit_48,FS,1.6569306990317784e-06,kt/yr
WT,Murray,Manag_Unit_48,FS,4.99516494372713e-07,kt/yr
WT,Tully,Manag_Unit_48,FS,1.7084792149176562e-06,kt/yr
WT,Upper Herbert,Manag_Unit_48,FS,3.4789319467814064e-06,kt/yr
BM,Baffle,Manag_Unit_48,PN,0.0020442011186485565,t/yr
BM,Burnett,Manag_Unit_48,PN,0.01459863368074678,t/yr
BM,Burrum,Manag_Unit_48,PN,0.0008876451088959366,t/yr
BM,Kolan,Manag_Unit_48,PN,0.003857637549864281,t/yr
BM,Mary,Manag_Unit_48,PN,0.018669575904215294,t/yr
BU,Belyando,Manag_Unit_48,PN,0.00068062283043609,t/yr
BU,Black,Manag_Unit_48,PN,0.0011471817123791402,t/yr
BU,Bowen Bogie,Manag_Unit_48,PN,0.05828418216385114,t/yr
BU,Burdekin Delta,Manag_Unit_48,PN,0.0024644139075248876,t/yr
BU,Cape Campaspe,Manag_Unit_48,PN,0.0028222044934148884,t/yr
BU,Don,Manag_Unit_48,PN,0.007816287888500282,t/yr
BU,East Burdekin,Manag_Unit_48,PN,0.002883046293504023,t/yr
BU,Haughton,Manag_Unit_48,PN,0.006423060759828506,t/yr
BU,Ross,Manag_Unit_48,PN,0.0013812372470925803,t/yr
BU,Suttor,Manag_Unit_48,PN,0.001366815522983804,t/yr
BU,Upper Burdekin,Manag_Unit_48,PN,0.026203738226561284,t/yr
CY,Endeavour,Manag_Unit_48,PN,0.002989328025718252,t/yr
CY,Jacky Jacky,Manag_Unit_48,PN,0.0006101993823489163,t/yr
CY,Jeannie,Manag_Unit_48,PN,0.0010589961970249731,t/yr
CY,Lockhart,Manag_Unit_48,PN,6.35706777464615e-05,t/yr
CY,Normanby,Manag_Unit_48,PN,0.0037150707494771466,t/yr
CY,Olive Pascoe,Manag_Unit_48,PN,0.0016443107351222616,t/yr
CY,Stewart,Manag_Unit_48,PN,9.584630597366015e-05,t/yr
FI,Boyne,Manag_Unit_48,PN,0.0004843646473543,t/yr
FI,Calliope,Manag_Unit_48,PN,0.002496070493591314,t/yr
FI,Comet,Manag_Unit_48,PN,0.0062961571946061725,t/yr
FI,Dawson,Manag_Unit_48,PN,0.019531017752478442,t/yr
FI,Fitzroy,Manag_Unit_48,PN,0.011167903650544476,t/yr
FI,Isaac,Manag_Unit_48,PN,0.008009635299462138,t/yr
FI,Mackenzie,Manag_Unit_48,PN,0.005425047882890276,t/yr
FI,Nogoa,Manag_Unit_48,PN,0.0018254458085075046,t/yr
FI,Shoalwater,Manag_Unit_48,PN,0.0012249202159191697,t/yr
FI,Styx,Manag_Unit_48,PN,0.0037054019892619446,t/yr
FI,Theresa,Manag_Unit_48,PN,0.003452823057310926,t/yr
FI,Water Park,Manag_Unit_48,PN,0.00033552772255860904,t/yr
MW,O-Connell,Manag_Unit_48,PN,0.018630784281519982,t/yr
MW,Pioneer,Manag_Unit_48,PN,0.009496978342603732,t/yr
MW,Plane,Manag_Unit_48,PN,0.015118435033438796,t/yr
MW,Proserpine,Manag_Unit_48,PN,0.001873977027505379,t/yr
WT,Barron,Manag_Unit_48,PN,0.006793580533249367,t/yr
WT,Daintree,Manag_Unit_48,PN,0.008826321595027801,t/yr
WT,Johnstone,Manag_Unit_48,PN,0.03664570878116682,t/yr
WT,Lower Herbert,Manag_Unit_48,PN,0.009897297441246093,t/yr
WT,Mossman,Manag_Unit_48,PN,0.0007677909494579701,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PN,0.008106306001625712,t/yr
WT,Murray,Manag_Unit_48,PN,0.0024642248521677,t/yr
WT,Tully,Manag_Unit_48,PN,0.005916489145874116,t/yr
WT,Upper Herbert,Manag_Unit_48,PN,0.01012476905966365,t/yr
BM,Baffle,Manag_Unit_48,PP,0.0011142938301417827,t/yr
BM,Burnett,Manag_Unit_48,PP,0.004976041330881963,t/yr
BM,Burrum,Manag_Unit_48,PP,0.0003336829292063228,t/yr
BM,Kolan,Manag_Unit_48,PP,0.001267191433678634,t/yr
BM,Mary,Manag_Unit_48,PP,0.0072973897351834415,t/yr
BU,Belyando,Manag_Unit_48,PP,0.000566721190361372,t/yr
BU,Black,Manag_Unit_48,PP,0.0005295938653491691,t/yr
BU,Bowen Bogie,Manag_Unit_48,PP,0.04064230597311587,t/yr
BU,Burdekin Delta,Manag_Unit_48,PP,0.0012634626818309143,t/yr
BU,Cape Campaspe,Manag_Unit_48,PP,0.0009660085714904086,t/yr
BU,Don,Manag_Unit_48,PP,0.0030400723233233898,t/yr
BU,East Burdekin,Manag_Unit_48,PP,0.0025654152491907728,t/yr
BU,Haughton,Manag_Unit_48,PP,0.002519971185629086,t/yr
BU,Ross,Manag_Unit_48,PP,0.0007682732987421701,t/yr
BU,Suttor,Manag_Unit_48,PP,0.0006643176873236613,t/yr
BU,Upper Burdekin,Manag_Unit_48,PP,0.02045802805021974,t/yr
CY,Endeavour,Manag_Unit_48,PP,0.0008738799877149745,t/yr
CY,Jacky Jacky,Manag_Unit_48,PP,9.126576186975085e-05,t/yr
CY,Jeannie,Manag_Unit_48,PP,0.00034850565098325177,t/yr
CY,Lockhart,Manag_Unit_48,PP,1.9207520356907893e-05,t/yr
CY,Normanby,Manag_Unit_48,PP,0.0013754164901816795,t/yr
CY,Olive Pascoe,Manag_Unit_48,PP,0.0002813940857375947,t/yr
CY,Stewart,Manag_Unit_48,PP,3.070664228396325e-05,t/yr
FI,Boyne,Manag_Unit_48,PP,0.00018598557042470194,t/yr
FI,Calliope,Manag_Unit_48,PP,0.0011454064160133905,t/yr
FI,Comet,Manag_Unit_48,PP,0.004051757340665331,t/yr
FI,Dawson,Manag_Unit_48,PP,0.011195852075940387,t/yr
FI,Fitzroy,Manag_Unit_48,PP,0.006886708392105433,t/yr
FI,Isaac,Manag_Unit_48,PP,0.003991556595116279,t/yr
FI,Mackenzie,Manag_Unit_48,PP,0.003146292147304323,t/yr
FI,Nogoa,Manag_Unit_48,PP,0.000755284209024294,t/yr
FI,Shoalwater,Manag_Unit_48,PP,0.00038286878178111946,t/yr
FI,Styx,Manag_Unit_48,PP,0.0012710642131098292,t/yr
FI,Theresa,Manag_Unit_48,PP,0.000981686289052378,t/yr
FI,Water Park,Manag_Unit_48,PP,0.00011275377541034898,t/yr
MW,O-Connell,Manag_Unit_48,PP,0.0048045432106275385,t/yr
MW,Pioneer,Manag_Unit_48,PP,0.002097029075059963,t/yr
MW,Plane,Manag_Unit_48,PP,0.0024802238656867477,t/yr
MW,Proserpine,Manag_Unit_48,PP,0.0005900644626185835,t/yr
WT,Barron,Manag_Unit_48,PP,0.0018786674171853888,t/yr
WT,Daintree,Manag_Unit_48,PP,0.0016123280407528738,t/yr
WT,Johnstone,Manag_Unit_48,PP,0.015664336446279497,t/yr
WT,Lower Herbert,Manag_Unit_48,PP,0.002937367341259879,t/yr
WT,Mossman,Manag_Unit_48,PP,0.00034682522021659104,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PP,0.0025268091924933677,t/yr
WT,Murray,Manag_Unit_48,PP,0.0005891749865774795,t/yr
WT,Tully,Manag_Unit_48,PP,0.0021145445626721093,t/yr
WT,Upper Herbert,Manag_Unit_48,PP,0.002786341170390789,t/yr
