Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,CHANGE,Region,BM,,Cropping,PN,,report,2.216211996046479
FU,FU,CHANGE,Region,BM,,Dairy,PN,,report,6.149686343424633
FU,FU,CHANGE,Region,BM,,Forestry,PN,,report,61.54306387027966
FU,FU,CHANGE,Region,BM,,Grazing,PN,,report,944.1712888284587
FU,FU,CHANGE,Region,BM,,Horticulture,PN,,report,3.7226496188678206
FU,FU,CHANGE,Region,BM,,Stream,PN,,report,405.79989080466305
FU,FU,CHANGE,Region,BM,,Sugarcane,PN,,report,53.56912972350743
FU,FU,CHANGE,Region,BM,,Urban + Other,PN,,report,5.456874373072534
FU,FU,CHANGE,Region,BM,,Bananas,PP,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,PP,,report,26.255559532085346
FU,FU,CHANGE,Region,BM,,Cropping,PP,,report,1.1322952618566935
FU,FU,CHANGE,Region,BM,,Dairy,PP,,report,3.0865501631775545
FU,FU,CHANGE,Region,BM,,Forestry,PP,,report,17.085234295115903
FU,FU,CHANGE,Region,BM,,Grazing,PP,,report,318.9419190977054
FU,FU,CHANGE,Region,BM,,Horticulture,PP,,report,1.6632129183414077
FU,FU,CHANGE,Region,BM,,Stream,PP,,report,193.4227345213359
FU,FU,CHANGE,Region,BM,,Sugarcane,PP,,report,17.937162206266457
FU,FU,CHANGE,Region,BM,,Urban + Other,PP,,report,2.3410665644347373
FU,FU,CHANGE,Region,BU,,Bananas,DIN,,report,0.0
FU,FU,CHANGE,Region,BU,,Conservation,DIN,,report,240.56700282843997
FU,FU,CHANGE,Region,BU,,Cropping,DIN,,report,15.817289258689309
FU,FU,CHANGE,Region,BU,,Dairy,DIN,,report,0.0
FU,FU,CHANGE,Region,BU,,Forestry,DIN,,report,18.26663700207308
FU,FU,CHANGE,Region,BU,,Grazing,DIN,,report,743.5237987181594
FU,FU,CHANGE,Region,BU,,Horticulture,DIN,,report,53.870366066048646
FU,FU,CHANGE,Region,BU,,Stream,DIN,,report,45.46934982958032
FU,FU,CHANGE,Region,BU,,Sugarcane,DIN,,report,642.4834630427496
FU,FU,CHANGE,Region,BU,,Urban + Other,DIN,,report,56.55822554669049
FU,FU,CHANGE,Region,BU,,Bananas,FS,,report,0.0
FU,FU,CHANGE,Region,BU,,Conservation,FS,,report,249.5129401133744
FU,FU,CHANGE,Region,BU,,Cropping,FS,,report,11.519450754893153
FU,FU,CHANGE,Region,BU,,Dairy,FS,,report,0.0
FU,FU,CHANGE,Region,BU,,Forestry,FS,,report,10.570698888363925
FU,FU,CHANGE,Region,BU,,Grazing,FS,,report,2926.2547728751815
FU,FU,CHANGE,Region,BU,,Horticulture,FS,,report,10.714959314152706
FU,FU,CHANGE,Region,BU,,Stream,FS,,report,153.7774387819689
FU,FU,CHANGE,Region,BU,,Sugarcane,FS,,report,23.51148884932859
FU,FU,CHANGE,Region,BU,,Urban + Other,FS,,report,15.294714217173604
FU,FU,CHANGE,Region,BU,,Bananas,PN,,report,0.0
FU,FU,CHANGE,Region,BU,,Conservation,PN,,report,542.0928227945764
FU,FU,CHANGE,Region,BU,,Cropping,PN,,report,22.343654766825765
FU,FU,CHANGE,Region,BU,,Dairy,PN,,report,0.0
